Unif Exp CLorentz
0.517226 0.458739 -0.558099
0.495535 1.4083 -0.979903
0.356316 0.776245 -5.88697
0.582786 1.2244 -1.13844
0.575061 1.08016 -1.21455
0.711013 0.931019 -489.246
0.47547 1.16137 -0.761227
0.211599 0.465014 -0.422345
0.482283 1.05738 0.34733
0.465471 0.700204 -3.7255
0.63992 1.22793 -0.728459
0.529229 1.22487 0.90128
0.557432 1.11633 1.25729
0.569923 1.14504 -0.60193
0.442462 1.5747 0.792045
0.400254 0.976942 1.0008
0.465178 0.8325 -0.120288
0.558527 0.798574 0.170618
0.390286 0.698871 0.0340936
0.491133 0.699967 0.54204
0.583855 1.05442 -2.81504
0.51265 0.836856 1.04877
0.503428 1.02703 0.797594
0.470273 0.74398 -2.28717
0.564016 0.723383 1.29368
0.643227 0.763351 -0.407203
0.475813 1.18673 0.50249
0.569493 1.42311 1.399
0.495965 1.02324 0.87647
0.404613 1.41511 0.0404722
0.538327 1.47702 0.71186
0.460956 1.02824 1.58456
0.640916 0.458336 1.1658
0.418624 1.30259 2.31458
0.387557 0.632588 1.84778
0.39662 1.07619 2.47407
0.492178 0.670427 0.357641
0.467919 1.25114 0.511703
0.543077 1.10751 -0.383734
0.625225 1.74824 1.00114
0.619452 0.734951 -0.235057
0.573344 1.37449 -18.7786
0.370354 1.17083 -1.76547
0.544784 1.04917 -0.745076
0.611059 0.888477 0.367674
0.600339 0.681075 -0.090727
0.555581 0.867214 -3.06666
0.466556 1.38354 -2.43922
0.565654 0.75061 0.433222
0.544961 1.25939 -1.03573
0.642964 0.790358 1.68508
0.659399 1.29788 5.96476
0.59666 1.28891 1.55383
0.330559 0.659908 1.05193
0.5442 0.781909 -0.0556578
0.511405 0.948212 0.115999
0.499416 1.12627 0.69712
0.501597 0.637742 2.81655
0.404102 0.786253 -0.975233
0.488667 0.930755 -85.7122
0.392722 0.904621 53.212
0.431593 0.75745 0.707578
0.555559 1.29878 4.61947
0.289016 1.37331 21.8894
0.283202 0.982157 0.696154
0.467612 0.899394 -2.54225
0.421225 0.805377 -0.736517
0.481513 1.31441 0.0436716
0.41261 1.44274 -1.45938
0.414217 0.764986 1.39907
0.618545 0.740309 -0.319004
0.490467 1.22894 -12.2272
0.63493 0.831859 -1.35358
0.415254 1.02525 0.232147
0.498969 1.04925 1.0635
0.325712 0.923322 21.1727
0.631852 0.685203 -0.589166
0.622312 0.74343 -3.26092
0.501391 1.1028 -3.31167
0.578844 1.27144 0.229199
0.511889 1.38186 -2.88647
0.444166 0.787036 7.18828
0.524095 1.30791 0.468652
0.598084 0.9445 0.348087
0.450164 0.926986 -5.56019
0.45199 1.10945 0.0114567
0.618703 0.635292 1.09787
0.422418 1.34773 4.04914
0.512582 0.855806 2.87701
0.57059 0.933716 -2.66812
0.583819 0.523985 0.307139
0.598611 0.805876 -8.48129
0.569828 0.855106 1.0205
0.516362 1.14307 0.935623
0.585318 1.09531 0.10219
0.522683 0.861913 2.25536
0.443367 0.823124 1.30086
0.448181 0.77349 -1.5231
0.554412 1.05739 -0.206334
0.640377 0.732858 7.55405
0.637308 0.471001 1.73322
0.577852 0.8933 -0.331367
0.413865 1.27553 -0.493598
0.409154 0.49372 -0.52199
0.39676 1.37369 -4.37198
0.542276 1.00889 -0.0485151
