MBlocks EBlocks
3.10835 0
3.09704 0.0113043
3.11244 0.0167254
3.11367 0.01189
3.12788 0.0169327
3.13663 0.0163613
3.13259 0.0144058
3.13427 0.0125891
3.13139 0.0114701
3.13103 0.0102655
3.12809 0.00973913
3.13 0.0090936
3.13338 0.0090202
3.13248 0.00839913
3.13147 0.00788402
3.12951 0.00763124
3.13195 0.00757249
3.13172 0.00714315
3.1302 0.00692567
3.12952 0.0066051
3.12842 0.00637947
3.12954 0.00618563
3.13044 0.00597918
3.12872 0.0059777
3.13036 0.00596187
3.13151 0.00584238
3.13391 0.00611325
3.13695 0.00663069
3.13661 0.00640698
3.13762 0.00627048
3.13755 0.00606522
3.13567 0.00616419
3.13462 0.00606736
3.13473 0.00588721
3.13423 0.00573805
3.13468 0.00559426
3.1344 0.00544818
3.13391 0.00532502
3.13464 0.00523792
3.13385 0.00516684
3.13449 0.00508029
3.13529 0.00502216
3.13438 0.00498849
3.13466 0.00488193
3.13605 0.0049697
3.13643 0.00487587
3.13655 0.00477238
3.13637 0.00467546
3.13681 0.00460055
3.1365 0.00451796
3.13653 0.00442854
3.13543 0.00447826
3.13529 0.00439532
3.13517 0.00431463
3.13537 0.00424009
3.13519 0.0041678
3.13567 0.00412179
3.13506 0.00409454
3.13515 0.00402556
3.13502 0.00396018
3.13461 0.00391673
3.13492 0.00386553
3.13464 0.00381389
3.13588 0.00395314
3.13578 0.00389293
3.13545 0.00384784
3.13543 0.00379003
3.13546 0.00373401
3.13603 0.00372296
3.13554 0.00370247
3.13598 0.00367626
3.13604 0.00362536
3.13632 0.00358655
3.13685 0.0035768
3.13577 0.00368937
3.1356 0.00364443
3.13517 0.00362294
3.13555 0.00359695
3.13564 0.00355223
3.1358 0.00351105
3.13601 0.00347405
3.13567 0.0034488
3.1359 0.0034146
3.1367 0.00346882
3.13666 0.00342799
3.137 0.00340418
3.13661 0.00338675
3.13761 0.00349325
3.13694 0.00351753
3.1367 0.00348655
3.13616 0.00349084
3.13646 0.00346578
3.13618 0.00343972
3.13567 0.00344058
3.13585 0.00340875
3.13583 0.0033731
3.13574 0.00333918
3.13619 0.00333417
3.13607 0.00330251
3.13575 0.00328413
