MBlocks_Media EBlocks_Media MBlocks_HoM EBlocks_HoM
1.06226 0 0.994388 0
0.980392 0.0818726 0.998624 0.00423664
1.0326 0.0704295 0.997692 0.0026176
0.998894 0.0601367 0.997756 0.00185201
1.00267 0.0467346 0.998801 0.00177517
1.00866 0.0386261 0.99844 0.00149391
1.00589 0.0327625 0.997262 0.00172623
1.00585 0.0283732 0.998179 0.0017535
0.995994 0.0268932 0.998064 0.00155073
0.988977 0.0250564 0.997731 0.00142634
0.990506 0.0227159 0.997679 0.00129124
0.986138 0.0211918 0.997733 0.00117997
0.985987 0.0194942 0.998026 0.00112429
0.986175 0.0180491 0.998763 0.0012753
0.989088 0.0170535 0.999375 0.00133592
0.983378 0.0169433 0.998561 0.00149125
0.983918 0.0159246 0.998196 0.00144753
0.985737 0.0151236 0.998124 0.00136668
0.985782 0.0143056 0.998313 0.00130658
0.988592 0.0138594 0.998661 0.00128748
0.990628 0.0133392 0.9989 0.0012477
0.992136 0.0128075 0.998843 0.001191
0.993606 0.012326 0.998909 0.00113994
0.992936 0.0118203 0.998883 0.00109171
0.99106 0.0114918 0.998633 0.00107648
0.990955 0.0110414 0.998794 0.00104668
0.989079 0.010789 0.998944 0.00101832
0.988656 0.0104052 0.999244 0.001026
0.98799 0.010062 0.99907 0.00100521
0.987856 0.00972177 0.998994 0.000974087
0.989081 0.00948235 0.999016 0.000942404
0.990118 0.00923962 0.999197 0.000930346
0.98775 0.00926299 0.99931 0.000908727
0.98994 0.00924954 0.999628 0.000937244
0.991172 0.00906539 0.999568 0.000912043
0.991558 0.00881846 0.999828 0.000923505
0.990083 0.00870275 1.00001 0.000916966
0.990577 0.00848502 1.00011 0.000897669
0.990878 0.00827008 1.00017 0.000876626
0.992105 0.0081535 0.999982 0.000875287
0.992278 0.00795403 1.00001 0.000854188
0.992282 0.00776234 0.999998 0.000833706
0.992522 0.00758349 0.999771 0.00084513
0.993491 0.00747223 0.999822 0.000827296
0.993865 0.00731383 0.999786 0.000809525
0.994179 0.00715995 0.999833 0.000793103
0.994736 0.00702808 0.999766 0.000778933
0.994885 0.00688173 0.999759 0.000762561
0.994263 0.00676853 0.999923 0.000764709
0.994708 0.00664672 0.999861 0.000751825
0.994475 0.00651926 0.999752 0.000744959
0.995301 0.00644585 0.999681 0.000733938
0.994671 0.00635436 0.99954 0.000733625
0.995537 0.00629545 0.999562 0.000720246
0.996206 0.00621604 0.999467 0.000713473
0.996387 0.00610669 0.999482 0.000700782
0.995295 0.00609723 0.999422 0.000690967
0.996398 0.00609185 0.999535 0.000688306
0.997141 0.00603369 0.999571 0.000677502
0.996606 0.00595637 0.999641 0.000669718
0.998228 0.00607824 0.999724 0.000663927
0.996842 0.00613784 0.999647 0.000657649
0.996764 0.00604014 0.999729 0.000652221
0.996815 0.00594523 0.999755 0.000642479
0.996217 0.00588347 0.999714 0.000633851
0.996227 0.00579365 0.999733 0.000624485
0.994381 0.00599767 0.999662 0.000619271
0.994588 0.00591246 0.999646 0.000610298
0.993951 0.00586083 0.999781 0.000616262
0.992195 0.00603754 0.999738 0.000608855
0.99197 0.00595615 0.999745 0.000600259
0.991883 0.00587349 0.999831 0.000597987
0.991575 0.00580065 0.999826 0.000589761
0.9931 0.0059215 0.999841 0.000581934
0.99325 0.00584393 0.999836 0.000574142
0.992574 0.00580597 0.999928 0.00057399
0.993754 0.00585032 0.999925 0.000566496
0.993042 0.00581865 0.999974 0.000561317
0.992269 0.00579623 1.00005 0.000559203
0.992013 0.00572903 1.00013 0.000558162
0.990844 0.00577744 1.00022 0.0005585
0.990379 0.00572547 1.00024 0.000552179
0.990755 0.00566859 1.00027 0.000546107
0.990917 0.00560302 1.00032 0.000542171
0.992088 0.00565927 1.00038 0.000538399
0.99209 0.00559308 1.00041 0.000533299
0.99242 0.00553824 1.00037 0.000528812
0.993416 0.00556479 1.00039 0.000523077
0.994062 0.00553975 1.00036 0.000518106
0.993776 0.00548529 1.00038 0.000512627
0.995212 0.00561135 1.00039 0.000507337
0.995992 0.00560464 1.00044 0.000503534
0.996467 0.00556435 1.00055 0.000510539
0.996517 0.00550507 1.00052 0.000505637
0.997253 0.00549627 1.00047 0.000503316
0.997581 0.0054486 1.0005 0.000498711
0.997496 0.00539279 1.00049 0.000493593
0.997946 0.00535636 1.00056 0.000493756
0.998376 0.00531938 1.00061 0.000491616
0.997939 0.00528403 1.00055 0.000491331
