MBlocks_Disc EBlocks_Disc MBlocks_Cont EBlocks_Cont
1 0 1 0
1.28091 0.00582515 1.33044 0.00446421
1.63008 0.00646306 1.63521 0.00607696
1.83757 0.00670208 1.86535 0.00740868
2.09256 0.00725798 2.08395 0.00820257
2.26235 0.00912122 2.28568 0.00989814
2.44471 0.00997206 2.45045 0.0104587
2.60743 0.00945457 2.60583 0.0109111
2.76512 0.00952322 2.75615 0.0117987
2.93119 0.0121889 2.92878 0.0118845
3.06915 0.0142313 3.08018 0.0136135
3.1989 0.0128923 3.19989 0.0145527
3.35144 0.0122436 3.34692 0.0128958
3.45358 0.0163885 3.4631 0.0135328
3.58796 0.0151527 3.59063 0.0155826
3.66736 0.0159161 3.67743 0.0131343
3.82351 0.0156388 3.80149 0.016229
3.92851 0.0170473 3.91467 0.0189327
4.04039 0.0162739 4.04143 0.0188657
4.14842 0.0174128 4.13312 0.0163978
4.23295 0.0185516 4.20902 0.0169082
4.32743 0.0181429 4.32447 0.0188249
4.42812 0.017938 4.41279 0.0198291
4.5165 0.018239 4.52017 0.0184145
4.61207 0.0185706 4.62356 0.0161018
4.70463 0.0202677 4.71633 0.0210769
4.79777 0.018405 4.78461 0.0186266
4.82436 0.0194754 4.83707 0.0212138
4.96615 0.021614 4.97558 0.0201956
5.04574 0.0206296 5.06794 0.0195103
5.14333 0.024168 5.12192 0.0219807
5.17786 0.0207333 5.20051 0.0238707
5.34072 0.023015 5.26538 0.0228681
5.38682 0.0211753 5.34693 0.0231752
5.47006 0.0234947 5.4732 0.0189773
5.56435 0.027147 5.56476 0.0245478
5.61709 0.022435 5.57322 0.0230154
5.71337 0.0260812 5.70412 0.0218027
5.74898 0.0238217 5.77791 0.0231819
5.82549 0.025681 5.84999 0.0250358
5.91225 0.0286525 5.83721 0.0269849
5.96919 0.024731 5.93933 0.0250829
6.02362 0.0274095 6.02195 0.025713
6.11801 0.0282309 6.16973 0.0262495
6.15158 0.0265062 6.13775 0.0249957
6.24791 0.0249144 6.25175 0.0264444
6.32452 0.0264975 6.3142 0.0282291
6.31624 0.0250622 6.38062 0.0262237
6.46241 0.0314392 6.48399 0.0286791
6.52305 0.0239063 6.50453 0.0255872
6.61963 0.0257266 6.61215 0.0249473
6.64492 0.0261326 6.62387 0.0267297
6.66401 0.0259963 6.70073 0.0294139
6.7753 0.027122 6.78589 0.0303507
6.80381 0.0252059 6.81804 0.0287193
6.94408 0.0249959 6.89022 0.0318209
6.94265 0.0293628 6.89843 0.0315303
7.04039 0.0289588 7.03028 0.0295397
7.11272 0.0315824 7.11611 0.0331388
7.14905 0.0306428 7.15102 0.0283715
7.20276 0.0275223 7.2228 0.027115
7.27895 0.0272657 7.26092 0.0299163
7.28311 0.0353403 7.2933 0.0303177
7.40431 0.0350664 7.41632 0.0319355
7.37999 0.0295046 7.40401 0.0285615
7.4987 0.0304308 7.43467 0.0334608
7.49131 0.0326991 7.5111 0.0309884
7.56784 0.0325958 7.54255 0.0280023
7.69106 0.0302342 7.68682 0.0331042
7.72032 0.0291762 7.67662 0.0297979
7.72327 0.0311542 7.74243 0.028708
7.80024 0.0366193 7.83862 0.035146
7.86597 0.0337214 7.86285 0.0302653
7.93752 0.033716 7.92823 0.033452
7.97573 0.038335 8.03652 0.0338839
7.96817 0.0341777 8.01916 0.0347665
8.06397 0.0388543 8.09542 0.0357383
8.12857 0.0336704 8.14497 0.0324134
8.20208 0.0314401 8.18179 0.037827
8.25492 0.0370612 8.24058 0.0359753
8.32452 0.0337518 8.26674 0.0314407
8.35996 0.0357178 8.3311 0.0343656
8.4248 0.0347317 8.40001 0.0381288
8.47231 0.0370025 8.44758 0.0335731
8.47235 0.0324105 8.51953 0.0326672
8.58577 0.0272731 8.61245 0.0352573
8.60923 0.0363047 8.64303 0.0352
8.67436 0.0374918 8.64349 0.0348989
8.68593 0.0389644 8.68826 0.0373395
8.70778 0.0369301 8.74145 0.033855
8.80055 0.0362431 8.81089 0.0363242
8.87036 0.0345663 8.85536 0.0397842
8.91357 0.0369477 8.92436 0.0324452
8.8855 0.0385167 8.96044 0.0390107
8.93378 0.0397385 9.02345 0.0362342
9.00965 0.0426951 9.03149 0.0380396
9.00258 0.0369199 9.04487 0.0370267
9.16058 0.0373372 9.12414 0.0387696
9.12038 0.0385637 9.15577 0.045644
9.17534 0.0360642 9.20522 0.0394451
