Unif Exp CLorentz
0.226908 0.417312 0.554624
0.805256 0.277173 1.15349
0.674243 0.174402 -0.783165
0.385978 0.570285 -3.14773
0.493743 0.854522 -0.567722
0.526132 0.483483 -0.722343
0.478075 1.28051 -0.214663
0.375085 0.184767 0.631363
0.515388 1.64202 2.34836
0.582993 3.45073 -6.94223
0.12279 2.14343 0.232364
0.277472 0.473188 -26.9798
0.38162 0.158906 -2.39107
0.866982 0.763723 -0.300221
0.132718 0.341979 0.00385347
0.507578 1.14485 -0.0587919
0.71204 1.12528 2.8418
0.6211 2.05801 -12.9902
0.4875 1.13803 1.50004
0.585714 0.65581 3.0149
0.477223 0.833498 -4.02302
0.45816 2.47946 -0.68894
0.805555 0.348931 2.2163
0.592847 1.18852 -1.69108
0.54152 0.550399 -1.88602
0.49528 1.10612 -0.423705
0.858017 1.56793 -0.590204
0.822899 0.520715 -1.00226
0.679365 0.76471 0.896352
0.699505 0.695621 -2445.11
0.717734 0.760654 1.47035
0.451785 2.75364 0.823263
0.641107 1.45694 -0.303095
0.457129 0.714224 -0.81456
0.109595 0.121369 -4.98209
0.397868 0.482614 0.188037
0.0436682 0.593552 1.75546
0.172271 0.101764 -2.19488
0.165204 0.575905 -7.31149
0.278981 0.571234 5.45115
0.435486 1.4773 -0.413305
0.868209 1.46627 1.68187
0.296612 0.546696 0.456144
0.476642 0.914491 -0.251182
0.334468 0.882168 0.263119
0.307944 0.63666 -0.422422
0.290541 0.556763 -1.88511
0.798541 0.601346 -0.103835
0.36187 0.927624 0.296311
0.568459 0.778629 -16.5124
0.486283 3.46181 1.1583
0.58587 0.511587 -1.0432
0.794248 1.25678 -0.60417
0.796075 0.808657 0.194786
0.537127 0.100833 -3.34801
0.342509 2.51906 0.429703
0.429844 0.198252 1.24794
0.538296 0.221712 1.49361
0.766922 1.43645 0.655554
0.568574 1.74889 0.679593
0.614984 0.788762 4.149
0.590503 1.17449 -0.0496098
0.520095 0.907779 0.370034
0.961281 1.33438 2.03512
0.100296 1.37625 -0.218102
0.713802 0.375617 -1.28179
0.665146 0.372564 10.6347
0.501569 1.75504 -0.491893
0.595758 0.994746 -11.5653
0.373342 2.22725 -0.305372
0.548387 5.88817 4.99507
0.175371 0.135428 1.00283
0.467818 0.11357 -0.542126
0.314348 1.25518 1.01274
0.706386 0.481139 -2.50828
0.183918 1.07186 1.62966
0.471039 2.12746 0.38939
0.3361 0.517868 -0.0692504
0.532312 0.601878 2.91427
0.477903 0.56564 0.139921
0.730947 1.09064 -2.47256
0.542062 0.710116 -0.141449
0.353086 1.11248 1.81354
0.305817 0.900711 -0.151592
0.393978 0.348546 0.350619
0.637323 1.69667 0.893833
